study,model_short,delta_ctrl,delta_expl,ioed
devices,claude-3.5-haiku,0.10460251046025104,1.7666666666666666,1.6620641562064156
devices,claude-opus-4,0.0,0.15833333333333333,0.15833333333333333
devices,command-a,0.025,1.0875,1.0625
devices,deepseek-r1,0.04184100418410042,0.33613445378151263,0.2942934495974122
devices,gemini-2.0-flash-001,0.0,1.2583333333333333,1.2583333333333333
devices,gemini-2.5-pro,0.012552301255230125,0.694560669456067,0.6820083682008369
devices,gpt-4o,0.004166666666666667,1.2208333333333334,1.2166666666666668
devices,grok-3,0.0,0.25416666666666665,0.25416666666666665
devices,llama-3.3-70b-instruct,0.07916666666666666,1.1333333333333333,1.0541666666666667
devices,mixtral-8x22b-instruct,0.2375,0.6386554621848739,0.4011554621848739
devices,o3-mini,0.09166666666666666,0.18828451882845187,0.09661785216178521
natural_phenomena,claude-3.5-haiku,0.1,1.65,1.5499999999999998
natural_phenomena,claude-opus-4,0.0,-0.1,-0.1
natural_phenomena,command-a,0.0,1.2,1.2
natural_phenomena,deepseek-r1,0.05,0.2,0.15000000000000002
natural_phenomena,gemini-2.0-flash-001,0.0,1.0,1.0
natural_phenomena,gemini-2.5-pro,0.05,0.55,0.5
natural_phenomena,gpt-4o,0.0,1.25,1.25
natural_phenomena,grok-3,0.0,0.35,0.35
natural_phenomena,llama-3.3-70b-instruct,0.0,1.0,1.0
natural_phenomena,mixtral-8x22b-instruct,0.1,0.1,0.0
natural_phenomena,o3-mini,0.0,0.15,0.15
procedures,claude-3.5-haiku,0.3,0.78,0.48000000000000004
procedures,claude-opus-4,-0.12,-0.32,-0.2
procedures,command-a,0.52,0.94,0.41999999999999993
procedures,deepseek-r1,1.38,0.20408163265306123,-1.1759183673469387
procedures,gemini-2.0-flash-001,2.28,1.16,-1.1199999999999999
procedures,gemini-2.5-pro,0.3617021276595745,0.46938775510204084,0.10768562744246635
procedures,gpt-4o,0.28,0.52,0.24
procedures,grok-3,0.0,-0.06,-0.06
procedures,llama-3.3-70b-instruct,1.8,0.82,-0.9800000000000001
procedures,mixtral-8x22b-instruct,1.44,0.5,-0.94
procedures,o3-mini,0.84,0.52,-0.31999999999999995
